cve_ent,nombre,poblacion,confirmados
20538,Sitio de Xitlapehua,715,5
20533,Santo Tomas Tamazulapan,2329,20
20539,Soledad Etla,5930,201
20534,San Vicente Coatlan,4062,36
20542,Taniche,833,7
20544,Teococuilco de Marcos Perez,981,6
20546,Teotitlan del Valle,6082,58
20545,Teotitlan de Flores Magon,10338,128
20550,San Jeronimo Tlacochahuaya,5745,126
20558,Valerio Trujano,1464,30
20551,Tlacolula de Matamoros,24027,864
20552,Tlacotepec Plumas,466,3
20553,Tlalixtac de Cabrera,10912,404
20561,Yaxe,2935,8
20562,Magdalena Yodocono de Porfirio Diaz,1601,7
20554,Totontepec Villa de Morelos,5577,11
20568,Zapotitlan Palmas,1494,13
20557,Union Hidalgo,16061,132
20559,San Juan Bautista Valle Nacional,23370,90
20560,Villa Diaz Ordaz,6980,18
20563,Yogana,1290,5
20569,Santa Ines de Zaragoza,1672,4
20570,Zimatlan de Alvarez,20892,400
21001,Acajete,69076,282
21002,Acateno,9700,26
21003,Acatlan,37718,460
21004,Acatzingo,62477,218
21005,Acteopan,3132,8
21006,Ahuacatlan,16753,24
21007,Ahuatlan,3428,11
21008,Ahuazotepec,12082,40
21009,Ahuehuetitla,1893,11
21010,Ajalpan,70090,133
21011,Albino Zertuche,1907,13
21012,Aljojuca,6920,26
21013,Altepexi,22578,62
21014,Amixtlan,5245,12
21015,Amozoc,125961,758
21016,Aquixtla,9196,37
20564,Yutanduchi de Guerrero,1200,0
20565,Villa de Zaachila,46846,1273
20566,San Mateo Yucutindoo,3159,3
21059,Chinantla,2408,15
21060,Domingo Arenas,7936,27
21061,Eloxochitlan,13471,10
21062,Epatlan,5100,32
21063,Esperanza,15794,53
21064,Francisco Z. Mena,17984,33
21065,General Felipe Angeles,21893,26
21066,Guadalupe,6121,49
21067,Guadalupe Victoria,18052,74
21068,Hermenegildo Galeana,8157,11
21069,Huaquechula,26310,121
21070,Huatlatlauca,6848,23
20567,Zapotitlan Lagunas,3268,8
21073,Huehuetlan el Chico,8989,94
21074,Huejotzingo,78403,1239
21075,Hueyapan,13559,29
21076,Hueytamalco,27794,111
21077,Hueytlalpan,5785,16
21078,Huitzilan de Serdan,15926,35
21079,Huitziltepec,5807,20
21020,Atoyatempan,7418,30
21021,Atzala,1390,12
26038,Moctezuma,5400,143
21028,Camocuautla,2789,4
21029,Caxhuacan,3932,14
21030,Coatepec,795,7
21034,Coronango,43151,391
26039,Naco,6756,49
21038,Cuapiaxtla de Madero,10686,41
21039,Cuautempan,9886,12
21040,Cuautinchan,10918,31
21041,Cuautlancingo,126781,1657
21042,Cuayuca de Andrade,3296,15
21043,Cuetzalan del Progreso,51238,119
21044,Cuyoaco,16688,75
21045,Chalchicomula de Sesma,50167,359
21046,Chapulco,8254,29
21047,Chiautla,21127,298
21048,Chiautzingo,21492,171
21049,Chiconcuautla,17625,33
21050,Chichiquila,27408,44
21051,Chietla,36514,420
21052,Chigmecatitlan,1259,0
21053,Chignahuapan,66338,780
21054,Chignautla,36244,284
21055,Chila,4862,18
21056,Chila de la Sal,1498,10
21057,Honey,8363,7
21080,Atlequizayan,2817,4
21084,Ixtepec,7501,15
21085,Izucar de Matamoros,82453,1121
21086,Jalpan,12830,45
21087,Jolalpan,13814,32
21088,Jonotla,4833,14
21089,Jopala,13788,31
21090,Juan C. Bonilla,22555,215
26041,Nacozari de Garcia,14231,431
21091,Juan Galindo,11422,114
26042,Navojoa,177079,5197
21095,La Magdalena Tlatlauquitepec,594,9
30092,Xico,40406,169
21097,Mixtla,2501,7
21099,Cañada Morelos,20442,28
21100,Naupan,10494,32
21101,Nauzontla,3644,11
21102,Nealtican,13190,44
21103,Nicolas Bravo,6672,25
21104,Nopalucan,33027,120
21105,Ocotepec,5066,21
21106,Ocoyucan,29976,228
21107,Olintla,12372,10
21108,Oriental,19352,135
21109,Pahuatlan,23302,59
21110,Palmar de Bravo,48935,163
21111,Pantepec,19514,43
21112,Petlalcingo,10239,39
21113,Piaxtla,4631,37
21114,Puebla,1698509,72908
21115,Quecholac,54012,136
21116,Quimixtlan,23329,24
26031,Huachinera,1411,8
30176,Tlacojalpan,5182,32
21117,Rafael Lara Grajales,14754,158
21125,San Gregorio Atzompa,9608,92
21131,San Juan Atzompa,939,5
21132,San Martin Texmelucan,162438,2848
26048,Puerto Peñasco,72279,1060
26049,Quiriego,3120,62
29047,Lazaro Cardenas,3282,53
29048,La Magdalena Tlaltelulco,19967,256
21118,Los Reyes de Juarez,29171,74
21124,San Gabriel Chilac,16701,40
21201,Xochiltepec,3496,14
21202,Xochitlan de Vicente Suarez,13403,18
21203,Xochitlan Todos Santos,6819,15
21204,Yaonahuac,8478,39
21205,Yehualtepec,26450,73
21206,Zacapala,4666,19
21207,Zacapoaxtla,58800,455
21208,Zacatlan,87692,791
21209,Zapotitlan,8979,41
21210,Zapotitlan de Mendez,5936,17
21211,Zaragoza,17284,116
21212,Zautla,20226,50
21213,Zihuateutla,14075,45
21133,San Martin Totoltepec,674,8
21134,San Matias Tlalancaleca,21644,147
21135,San Miguel Ixitlan,537,4
21136,San Miguel Xoxtla,13310,123
21137,San Nicolas Buenos Aires,10491,40
21138,San Nicolas de los Ranchos,12430,54
21139,San Pablo Anicano,3778,16
21140,San Pedro Cholula,139635,2431
21141,San Pedro Yeloixtlahuaca,3520,31
21142,San Salvador el Seco,32230,282
21143,San Salvador el Verde,33443,311
22001,Amealco de Bonfil,68441,575
21144,San Salvador Huixcolotla,15860,82
22004,Cadereyta de Montes,76829,1405
22005,Colon,69112,850
22006,Corregidora,208076,5826
22007,Ezequiel Montes,45877,727
22008,Huimilpan,42305,288
22009,Jalpan de Serra,29625,1397
22010,Landa de Matamoros,20313,202
22011,El Marques,178672,4981
22012,Pedro Escobedo,76411,1829
22013,Peñamiller,21988,185
22014,Queretaro,976939,61882
22015,San Joaquin,10323,260
22016,San Juan del Rio,301541,8488
22017,Tequisquiapan,78742,1000
22018,Toliman,31465,408
23001,Cozumel,101106,1956
23002,Felipe Carrillo Puerto,93104,1087
23003,Isla Mujeres,23070,431
23004,Othon P. Blanco,265298,9757
23005,Benito Juarez,844698,30492
21151,Santo Tomas Hueyotlipan,9100,42
21152,Soltepec,13062,61
21153,Tecali de Herrera,23518,186
21154,Tecamachalco,81930,746
21155,Tecomatlan,6052,174
21156,Tehuacan,339077,5511
21157,Tehuitzingo,11865,93
21158,Tenampulco,7527,20
21159,Teopantlan,3938,16
21160,Teotlalco,3336,27
21161,Tepanco de Lopez,21821,177
21162,Tepango de Rodriguez,4349,5
21163,Tepatlaxco de Hidalgo,18470,76
21164,Tepeaca,85594,715
21165,Tepemaxalco,1158,8
21166,Tepeojuma,9003,67
21167,Tepetzintla,12058,11
21168,Tepexco,7196,33
21169,Tepexi de Rodriguez,22408,216
21170,Tepeyahualco,18007,48
24023,Rayon,16295,475
24024,Rioverde,98982,4418
24025,Salinas,33222,324
24026,San Antonio,9765,74
24027,San Ciro de Acosta,10793,224
24028,San Luis Potosi,870578,50217
24029,San Martin Chalchicuautla,22089,372
24030,San Nicolas Tolentino,5396,41
24031,Santa Catarina,12287,96
24032,Santa Maria del Rio,41789,864
24033,Santo Domingo,12592,111
21171,Tepeyahualco de Cuauhtemoc,3794,12
21172,Tetela de Ocampo,29767,99
21173,Teteles de Avila Castillo,6283,46
21174,Teziutlan,104906,2881
21175,Tianguismanalco,13396,48
21176,Tilapa,9094,82
21177,Tlacotepec de Benito Juarez,55208,108
21178,Tlacuilotepec,17687,42
21179,Tlachichuca,30963,210
21180,Tlahuapan,42437,201
21181,Tlaltenango,7485,51
24035,Soledad de Graciano Sanchez,328949,6669
24036,Tamasopo,31591,378
24037,Tamazunchale,100187,3866
24038,Tampacan,16172,282
24039,Tampamolon Corona,16069,230
24040,Tamuin,40732,1189
21182,Tlanepantla,5299,36
21183,Tlaola,21336,59
21184,Tlapacoya,6860,18
21185,Tlapanala,8960,36
21186,Tlatlauquitepec,57203,283
21187,Tlaxco,5665,21
21188,Tochimilco,18990,49
21189,Tochtepec,22451,107
21190,Totoltepec de Guerrero,1283,3
21191,Tulcingo,9993,142
21192,Tuzamapan de Galeana,6767,14
21193,Tzicatlacoyan,7427,14
21194,Venustiano Carranza,31183,176
21195,Vicente Guerrero,25910,15
21196,Xayacatlan de Bravo,1665,14
21197,Xicotepec,86069,711
21198,Xicotlan,1276,9
21199,Xiutetelco,42668,175
21214,Zinacatepec,18089,57
21215,Zongozotla,5240,3
21216,Zoquiapan,2583,3
21217,Zoquitlan,19699,14
23006,Jose Maria Morelos,42799,463
23010,Bacalar,45083,564
24001,Ahualulco,19020,266
24002,Alaquines,8682,80
24003,Aquismon,50884,364
24004,Armadillo de los Infante,4313,52
24042,Tanquian de Escobedo,15866,394
24043,Tierra Nueva,9596,93
24005,Cardenas,19719,597
24006,Catorce,10209,130
24048,Villa de la Paz,5600,89
24007,Cedral,20098,395
25017,Sinaloa,94901,678
25018,Navolato,160045,2406
26001,Aconchi,3025,40
26002,Agua Prieta,88530,1413
26003,Alamos,27922,558
26004,Altar,10309,137
24014,Coxcatlan,16224,217
24018,Huehuetlan,16719,276
24020,Matehuala,104218,3836
24021,Mexquitic de Carmona,59381,727
24022,Moctezuma,20338,136
24044,Vanegas,8032,77
24045,Venado,15226,170
24049,Villa de Ramos,39037,186
24050,Villa de Reyes,51531,845
24054,Xilitla,54251,921
24055,Zaragoza,27163,302
24056,Villa de Arista,16056,449
26005,Arivechi,1284,28
24058,El Naranjo,23108,630
25001,Ahome,480654,10331
25002,Angostura,50579,726
25003,Badiraguato,32022,558
25004,Concordia,29379,190
25005,Cosala,17211,369
25006,Culiacan,962871,29610
25007,Choix,34547,280
25008,Elota,59057,960
25009,Escuinapa,62697,1524
25010,El Fuerte,108251,1381
25011,Guasave,316217,7054
25012,Mazatlan,533733,10821
25013,Mocorito,48313,403
25014,Rosario,56992,1270
25015,Salvador Alvarado,86932,1816
26007,Atil,638,13
26010,Bacerac,1537,8
26009,Bacanora,862,17
26019,Cananea,38103,2154
26027,Fronteras,9356,46
26020,Carbo,5305,58
26021,La Colorada,2122,8
26028,Granados,1170,53
26030,Hermosillo,946054,45308
26032,Huasabas,990,19
26034,Huepac,1091,6
26035,Imuris,13843,128
26037,Mazatan,1324,8
26043,Nogales,253486,5558
26044,Onavas,493,6
26046,Oquitoa,432,6
26047,Pitiquito,10159,335
26050,Rayon,1653,15
26053,San Felipe de Jesus,449,6
26054,San Javier,679,12
26061,Soyopa,1474,3
26056,San Miguel de Horcasitas,10070,45
26063,Tepache,1515,12
26057,San Pedro de la Cueva,1648,14
26059,Santa Cruz,2031,3
26060,Saric,1736,31
28028,Nuevo Morelos,3738,45
26065,Tubutama,1329,11
28036,San Nicolas,1100,3
26066,Ures,9577,134
26067,Villa Hidalgo,1693,15
26068,Villa Pesqueira,1263,7
26070,General Plutarco Elias Calles,18481,388
27002,Cardenas,276096,11993
27003,Centla,117902,2760
27004,Centro,739611,57563
27005,Comalcalco,217559,5176
27006,Cunduacan,148165,5089
27007,Emiliano Zapata,32992,1479
27008,Huimanguillo,200660,4235
27009,Jalapa,41267,1946
27010,Jalpa de Mendez,94252,5122
27011,Jonuta,32829,982
27012,Macuspana,177047,5922
27013,Nacajuca,149256,11038
27014,Paraiso,101901,4976
27015,Tacotalpa,52105,1576
27016,Teapa,62448,2715
27017,Tenosique,63851,3547
28001,Abasolo,12768,112
28002,Aldama,30886,857
28003,Altamira,255602,8011
28004,Antiguo Morelos,10384,115
28006,Bustamante,8446,27
28009,Ciudad Madero,223413,7689
28017,Jaumave,16350,295
29054,San Lorenzo Axocomanitla,6031,123
28018,Jimenez,8538,44
28019,Llera,17892,135
28020,Mainero,2684,39
28021,El Mante,125639,3912
28022,Matamoros,546115,14875
28023,Mendez,4140,16
28024,Mier,4434,125
28025,Miguel Aleman,29033,764
28026,Miquihuana,3817,23
28027,Nuevo Laredo,421295,7683
30079,Ixhuacan de los Reyes,11998,19
30080,Ixhuatlan del Cafe,23980,88
30081,Ixhuatlancillo,27351,443
28029,Ocampo,14524,103
28030,Padilla,14808,293
28031,Palmillas,1840,12
28032,Reynosa,686670,14822
28033,Rio Bravo,133206,1851
28034,San Carlos,9433,72
28035,San Fernando,59215,1034
30082,Ixhuatlan del Sureste,16524,110
30083,Ixhuatlan de Madero,56503,69
30084,Ixmatlahuacan,6067,54
30085,Ixtaczoquitlan,72556,1662
30086,Jalacingo,46453,86
30087,Xalapa,513443,9808
30088,Jalcomulco,5378,25
30089,Jaltipan,43828,535
30090,Jamapa,11971,117
30091,Jesus Carranza,30389,41
28040,Valle Hermoso,67965,1295
28041,Victoria,367051,13508
28042,Villagran,6563,37
28043,Xicotencatl,25174,394
29001,Amaxac de Guerrero,12018,267
29002,Apetatitlan de Antonio Carvajal,16266,487
29003,Atlangatepec,7030,78
29004,Altzayanca,18578,77
29005,Apizaco,85176,3115
29006,Calpulalpan,51966,632
29007,El Carmen Tequexquitla,18281,116
29008,Cuapiaxtla,16363,111
29009,Cuaxomulco,5720,114
29010,Chiautempan,77435,1727
29011,Muñoz de Domingo Arenas,4905,52
29012,Españita,9409,50
29013,Huamantla,100247,1509
29014,Hueyotlipan,15578,123
29019,Tepetitla de Lardizabal,22733,309
29027,Tenancingo,13938,217
29034,Tlaxco,45726,715
30115,Nogales,39768,1155
29035,Tocatlan,6306,138
29036,Totolac,24161,586
29037,Ziltlaltepec de Trinidad Sanchez Santos,9486,78
29038,Tzompantepec,18563,419
29039,Xaloztoc,25784,452
29040,Xaltocan,11627,184
29041,Papalotla de Xicohtencatl,32591,774
30166,Tepetlan,10147,17
30167,Tepetzintla,15415,28
30168,Tequila,15968,39
30169,Jose Azueta,24096,278
30170,Texcatepec,11527,12
30171,Texhuacan,5630,10
30172,Texistepec,21798,48
30173,Tezonapa,59388,106
30174,Tierra Blanca,110811,1170
30175,Tihuatlan,100967,894
29042,Xicohtzinco,14770,363
29045,Benito Juarez,6446,28
31020,Chicxulub Pueblo,4805,46
31021,Chichimila,8960,146
29057,Santa Apolonia Teacalco,4944,62
29049,San Damian Texoloc,6022,71
29051,San Jeronimo Zacualpan,4107,87
29053,San Juan Huactzinco,8053,112
29056,Santa Ana Nopalucan,8337,107
31024,Chumayel,3500,44
30041,Coetzala,2373,13
30057,Chiconquiaco,14791,17
30058,Chicontepec,58611,225
29058,Santa Catarina Ayometla,9500,188
29059,Santa Cruz Quilehtla,7664,59
30059,Chinameca,17075,81
30060,Chinampa de Gorostiza,17492,13
29060,Santa Isabel Xiloxoxtla,5367,77
30061,Las Choapas,85144,470
30062,Chocaman,22053,193
30063,Chontla,15234,17
30002,Acatlan,3344,13
30003,Acayucan,91195,409
30004,Actopan,45818,215
30005,Acula,5690,47
30006,Acultzingo,23921,115
30007,Camaron de Tejeda,6820,20
30008,Alpatlahuac,10563,12
30009,Alto Lucero de Gutierrez Barrios,30740,105
30010,Altotonga,68340,217
30011,Alvarado,56635,704
30018,Aquila,1969,4
30027,Benito Juarez,18423,22
30028,Boca del Rio,152810,2526
30029,Calcahualco,13500,14
30030,Camerino Z. Mendoza,44880,795
30031,Carrillo Puerto,17803,35
30032,Catemaco,52134,360
30033,Cazones de Herrera,24958,121
30034,Cerro Azul,28541,135
30035,Citlaltepetl,12474,15
30036,Coacoatzintla,10965,48
30037,Coahuitlan,8852,5
30038,Coatepec,97949,1213
30039,Coatzacoalcos,339108,7136
30040,Coatzintla,59863,998
30165,Tepatlaxco,8888,6
30064,Chumatlan,4095,4
32036,Ojocaliente,45302,511
30074,Huiloapan de Cuauhtemoc,7636,164
30075,Ignacio de la Llave,18267,49
30076,Ilamatlan,14240,15
30077,Isla,45440,302
30078,Ixcatepec,14148,24
30096,Landero y Coss,1671,4
30098,Magdalena,3240,13
30107,Las Minas,3130,2
30108,Minatitlan,164357,3257
30109,Misantla,67752,381
30110,Mixtla de Altamirano,12205,7
30111,Moloacan,18117,83
30112,Naolinco,22956,86
30113,Naranjal,4817,36
30114,Nautla,11519,41
30116,Oluta,17291,76
30118,Orizaba,134420,5538
30119,Otatitlan,5971,11
30120,Oteapan,17084,56
30125,Paso del Macho,33345,140
30126,Paso de Ovejas,35445,455
30127,La Perla,28959,41
30128,Perote,76977,535
30129,Platon Sanchez,19132,44
30130,Playa Vicente,39712,113
30131,Poza Rica de Hidalgo,217773,6036
30133,Pueblo Viejo,60978,435
30134,Puente Nacional,23890,348
30135,Rafael Delgado,24439,411
30136,Rafael Lucio,8510,38
30138,Rio Blanco,44568,1446
30140,San Andres Tenejapan,3097,17
30141,San Andres Tuxtla,173149,1766
30142,San Juan Evangelista,35607,34
30143,Santiago Tuxtla,60542,297
30144,Sayula de Aleman,34331,46
30145,Soconusco,17083,47
30146,Sochiapa,3839,15
30147,Soledad Atzompa,24269,14
30148,Soledad de Doblado,29150,232
30149,Soteapan,36043,29
30150,Tamalin,12233,15
30151,Tamiahua,24459,79
30152,Tampico Alto,13099,44
30153,Tancoco,6072,12
30154,Tantima,13662,12
30155,Tantoyuca,109017,239
30156,Tatatila,6179,8
30157,Castillo de Teayo,20752,53
30158,Tecolutla,25352,114
30159,Tehuipango,27267,19
30160,Alamo Temapache,110365,460
30161,Tempoal,37410,131
30162,Tenampa,7081,9
30163,Tenochtitlan,5425,5
30164,Teocelo,17551,96
30185,Tlilapan,5584,87
30190,Tuxtilla,2358,35
30192,Vega de Alatorre,21319,114
30193,Veracruz,626918,22620
30194,Villa Aldama,12406,48
30196,Yanga,18981,224
30197,Yecuatla,12549,16
30198,Zacualpan,7530,8
30199,Zaragoza,11884,27
30206,Nanchital de Lazaro Cardenas del Rio,31215,407
31001,Abala,7035,70
31002,Acanceh,17390,445
31003,Akil,11877,96
31004,Baca,6406,94
31005,Bokoba,2349,42
31049,Mayapan,3901,6
31007,Cacalchen,7768,64
31009,Cansahcab,4994,54
31055,Opichen,7249,56
31056,Oxkutzcab,33191,308
31057,Panaba,8254,83
31010,Cantamayec,2684,9
31012,Cenotillo,4194,39
31013,Conkal,11891,321
31014,Cuncunul,1724,82
31015,Cuzama,5555,35
31016,Chacsinkin,3197,20
31018,Chapab,3388,84
31022,Chikindzonot,4448,35
31064,Sanahcat,1829,10
31023,Chochola,5070,48
31025,Dzan,5690,98
31026,Dzemul,3981,61
31027,Dzidzantun,8874,72
31031,Dzoncauich,2840,15
31033,Halacho,21620,148
31034,Hocaba,6607,46
31035,Hoctun,6358,60
31037,Huhi,5578,33
31038,Hunucma,34856,899
31039,Ixil,4390,35
31041,Kanasin,108918,2678
31042,Kantunil,5813,27
31072,Suma,1963,34
31043,Kaua,3307,39
31044,Kinchil,7657,117
31045,Kopoma,2726,30
31046,Mama,3371,32
31048,Maxcanu,24331,578
31073,Tahdziu,5375,11
31051,Mococha,3513,37
31053,Muna,13571,132
31100,Ucu,3963,45
31054,Muxupip,3074,38
32017,Guadalupe,199581,8897
32018,Huanusco,4263,50
32019,Jalpa,25422,424
32020,Jerez,63035,1366
32021,Jimenez del Teul,4464,27
32022,Juan Aldama,22780,187
32023,Juchipila,13357,116
32024,Loreto,56515,476
32025,Luis Moya,13948,81
32026,Mazapil,18464,250
32027,Melchor Ocampo,3112,11
32028,Mezquital del Oro,2605,12
32029,Miguel Auza,24847,150
32030,Momax,2542,78
32031,Monte Escobedo,9708,168
32032,Morelos,13120,352
32033,Moyahua de Estrada,4217,18
32034,Nochistlan de Mejia,29353,1242
32035,Noria de Angeles,17636,99
31060,Quintana Roo,1028,8
31062,Sacalum,5157,63
31063,Samahil,5540,110
32057,Trancoso,20285,288
31068,Sinanche,3377,35
31070,Sucila,4204,96
31074,Tahmek,3982,66
31075,Teabo,7031,102
31076,Tecoh,18791,141
31077,Tekal de Venegas,2845,18
31078,Tekanto,4049,36
31080,Tekit,10974,40
31082,Telchac Pueblo,4051,39
31083,Telchac Puerto,1912,20
31086,Tepakan,2372,17
31087,Tetiz,5419,41
31088,Teya,2091,30
31090,Timucuy,7877,53
31094,Tixmehuac,5200,13
31095,Tixpehual,5922,87
31097,Tunkas,3751,26
31103,Xocchel,3722,20
31105,Yaxkukul,3377,41
31106,Yobain,2426,17
32003,Atolinga,2621,43
32004,Benito Juarez,4307,43
32005,Calera,47377,717
32006,Cañitas de Felipe Pescador,8712,69
32007,Concepcion del Oro,13933,410
32008,Cuauhtemoc,13230,84
32009,Chalchihuites,11842,56
32010,Fresnillo,242826,7016
32011,Trinidad Garcia de la Cadena,3022,35
32012,Genaro Codina,8559,82
32013,General Enrique Estrada,6620,84
32014,General Francisco R. Murguia,22792,187
32015,El Plateado de Joaquin Amaro,1340,10
32016,General Panfilo Natera,24286,206
32041,El Salvador,2528,28
32052,Villa Garcia,20167,101
32053,Villa Gonzalez Ortega,13945,142
32054,Villa Hidalgo,20177,112
32055,Villanueva,31804,497
32056,Zacatecas,155533,9764
32058,Santa Maria de la Paz,2855,
