"","x"
"1",91.6089142999875
"2",86.6856384058175
"3",84.0629164293907
"4",80.9462403099138
"5",88.4979986424718
"6",85.4209677161639
"7",81.1185455950372
"8",78.9746291577554
"9",75.8131743299097
"10",86.6078137699269
"11",90.1313358992412
"12",84.3225663055057
"13",75.8127931848941
"14",87.4973562236152
"15",86.77376000662
"16",85.1814221542069
"17",88.5183503101436
"18",83.2606552423562
"19",86.0480865096646
"20",80.4243900603362
"21",90.8457677242452
"22",87.6080961015174
"23",85.8544374121197
"24",87.4030361177396
"25",87.5695892996427
"26",86.8328654460863
"27",85.3099280300909
"28",81.6790471165784
"29",84.8725807874626
"30",85.9704937855546
"31",85.489163653869
"32",85.1854235794739
"33",85.5790103961295
"34",92.7962229888835
"35",93.4723280382802
"36",79.6997744705121
"37",88.117656646263
"38",91.5300190823414
"39",89.9255860739364
"40",83.12173599161
"41",93.6851991384932
"42",88.5616767337753
"43",82.7508688826729
"44",84.8925312822728
"45",80.1975865529374
"46",85.2742053614764
"47",84.6700527080714
"48",92.6223003219985
"49",86.1960745983542
"50",83.9404237848421
"51",86.4300569152519
"52",84.2244867294185
"53",82.9671487097968
"54",74.4964679147706
"55",87.1110690322049
"56",79.5228593974987
"57",73.56421847232
"58",80.0565979967413
"59",82.3271833479613
"60",92.2696896880332
"61",84.2980525190806
"62",90.8838007253883
"63",84.7728994829639
"64",80.6550121529127
"65",76.7038164655372
"66",80.8924421065024
"67",85.4663050946954
"68",81.2204802262548
"69",96.3604870805044
"70",82.5031633291805
"71",89.8186547711482
"72",85.9646207066814
"73",84.7559579014352
"74",82.8665508976202
"75",85.201863848433
"76",72.0569560302866
"77",85.2372978888924
"78",76.8532436838728
"79",87.9076788379651
"80",91.2858872717529
"81",84.1033498391462
"82",85.212304183365
"83",80.1208504479155
"84",73.488467229223
"85",76.9016978215404
"86",88.0170820181315
"87",87.270273392784
"88",80.9741156287342
"89",68.2586639075847
"90",78.1671641447126
"91",84.0892554764487
"92",84.8456670293279
"93",83.0406487807791
"94",80.3381705905508
"95",84.7943993469774
"96",86.7205557710659
"97",81.2635214408158
"98",83.3701155803878
"99",87.4593658379155
"100",82.1587059617101
"101",90.0832960895906
"102",77.1324627520864
"103",94.0706395252011
"104",84.2642960516064
"105",87.0178291817555
"106",86.4376752109358
"107",85.6470814216338
"108",87.5976333510256
"109",80.4797452266459
"110",90.6269055114827
"111",80.1685120940446
"112",89.5448983262511
"113",79.5811407443274
"114",89.6398106897242
"115",76.6246512464569
"116",88.8745687755035
"117",77.0561692096566
"118",85.3058872385464
"119",87.8572301779154
"120",79.3534910487078
"121",81.3399146310901
"122",82.6647925214923
"123",80.7012588298371
"124",81.1456065326066
"125",81.2401997673613
"126",90.0152113711658
"127",82.4415000570027
"128",73.7867254324378
"129",82.9234101377097
"130",80.3442192188894
"131",82.1099214784253
"132",82.1122552572033
"133",91.8148500873091
"134",76.3674286656375
"135",87.9449870367246
"136",86.7465025396704
"137",82.4827388966983
"138",82.9161247470028
"139",84.6625104630239
"140",85.4677154749659
"141",92.9772638504769
"142",90.8749516748658
"143",80.2939443858762
"144",88.1763066717293
"145",85.9190190789027
"146",83.0597946166009
"147",83.3695621396981
"148",85.4074713480473
"149",89.8264375629472
"150",83.828299419086
"151",92.7155796697492
"152",91.3878175604739
